SONG_ID,SONG_NAME,DURATION_MS,POPULARITY,URL,SONG_ADDED,ALBUM_ID,ARTIST_ID
7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)",244684,90,https://open.spotify.com/track/7CyPwkp0oE8Ro9Dd5CUDjW,2024-10-11,7tzVd1fwkxsorytCBjEJkU,"1Xyo4u8uXC1ZmMpatF05PJ, 250b0Wlc5Vk0CoUsaCY84M, 1pBLC0qVRTB5zVMuteQ9jJ"
2262bWmqomIaJXwCRHr13j,Sailor Song,211978,88,https://open.spotify.com/track/2262bWmqomIaJXwCRHr13j,2024-10-11,68CN2LzY8MoxO2udy2C22e,1iCnM8foFssWlPRLfAbIwo
2esZG2XFtuoWWA9AfDvSxy,Gata Only,222000,79,https://open.spotify.com/track/2esZG2XFtuoWWA9AfDvSxy,2024-10-11,6MikZBKCtKfPM4439yzBRz,"7CvTknweLr9feJtRGrpDBy, 1Yj5Xey7kTwvZla8sqdsdE"
3hRV0jL3vUpRrcy398teAU,The Night We Met,208211,88,https://open.spotify.com/track/3hRV0jL3vUpRrcy398teAU,2024-10-11,4sD1qg4jwTZR4mvR4Iflk5,6ltzsmQQbmdoHHbLZ4ZN25
42wdz3j7gstgUuhoFLCXqd,PELIGROSA,134930,84,https://open.spotify.com/track/42wdz3j7gstgUuhoFLCXqd,2024-10-11,6MikZBKCtKfPM4439yzBRz,7CvTknweLr9feJtRGrpDBy
6HrALJOMsfPCCbUo5cJCON,ESCAPATE,144674,86,https://open.spotify.com/track/6HrALJOMsfPCCbUo5cJCON,2024-10-11,27GWSFRITD8JJcSGMgEfTN,"5eumcnUkdmGvkvcsx1WFNG, 2rmkQLzj0k4nZdQehOUByO"
7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),180386,89,https://open.spotify.com/track/7KA4W4McWYRpgf0fWsJZWB,2024-10-11,2nkto6YNI4rUYTLqEwWJ3o,"4V8LLVI7PbaPR0K2TGSxFF, 1U1el3k54VvEUzo3ybLPlM"
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",218423,95,https://open.spotify.com/track/0WbMK4wrZ1wFSty9F7FCgu,2024-10-11,1WAjjRMfZjEXtB0lQrAw6Q,7GlBOeep6PqTfFi59PTUUN
19XpFsce28aByvCC4g89tJ,Too Sweet,251424,83,https://open.spotify.com/track/19XpFsce28aByvCC4g89tJ,2024-10-11,48qd9sU3xqYJbKaxHCciJL,2FXC3k01G6Gw61bmprjgqS
51ZQ1vr10ffzbwIjDCwqm4,we can't be friends (wait for your love),228639,87,https://open.spotify.com/track/51ZQ1vr10ffzbwIjDCwqm4,2024-10-11,5EYKrEDnKhhcNxGedaRQeK,66CXWjxzNUsdJxJ2JdwvnR
