SONG_NAME,ALBUM_NAME,POPULARITY
Die With A Smile,Die With A Smile,100
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,98
Taste,Short n' Sweet,95
"Good Luck, Babe!","Good Luck, Babe!",95
Si Antes Te Hubiera Conocido,Si Antes Te Hubiera Conocido,95
Who,MUSE,93
The Emptiness Machine,The Emptiness Machine,92
Bed Chem,Short n' Sweet,92
WILDFLOWER,HIT ME HARD AND SOFT,91
Timeless (with Playboi Carti),Timeless,91
