SONG_NAME,DURATION_MS,POPULARITY
Die With A Smile,251667,100
BIRDS OF A FEATHER,210373,98
Taste,157279,95
"Good Luck, Babe!",218423,95
Si Antes Te Hubiera Conocido,195824,95
Who,170887,93
The Emptiness Machine,190427,92
Bed Chem,171869,92
WILDFLOWER,261466,91
Timeless (with Playboi Carti),256000,91
