ARTIST_ID,NAME,URL,GENRES,FOLLOWERS,POPULARITY
1WaFQSHVGZQJTbf0BdxdNo,Tommy Richman,https://open.spotify.com/artist/1WaFQSHVGZQJTbf0BdxdNo,chill abstract hip hop,732289,80
3bO19AOone0ubCsfDXDtYt,Myles Smith,https://open.spotify.com/artist/3bO19AOone0ubCsfDXDtYt,singer-songwriter pop,748433,79
77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,https://open.spotify.com/artist/77SW9BnxLY8rJ0RciFqkHh,"modern alternative rock, modern rock, pop",18165663,86
2FXC3k01G6Gw61bmprjgqS,Hozier,https://open.spotify.com/artist/2FXC3k01G6Gw61bmprjgqS,"irish singer-songwriter, modern rock, pop, pov: indie",7935738,87
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,pop,100404987,92
6uzHLlGqFKaXYOnZyYmXYg,LOUKI,https://open.spotify.com/artist/6uzHLlGqFKaXYOnZyYmXYg,,11588,73
2sil8z5kiy4r76CRTXxBCA,The Goo Goo Dolls,https://open.spotify.com/artist/2sil8z5kiy4r76CRTXxBCA,"neo mellow, permanent wave, pop rock, post-grunge",2936065,76
6ltzsmQQbmdoHHbLZ4ZN25,Lord Huron,https://open.spotify.com/artist/6ltzsmQQbmdoHHbLZ4ZN25,"indie folk, stomp and holler",1732691,78
6pV5zH2LzjOUHaAvENdMMa,Neton Vega,https://open.spotify.com/artist/6pV5zH2LzjOUHaAvENdMMa,corrido,354378,82
06HL4z0CvFAxyc27GXpf02,Taylor Swift,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,pop,123685307,100
2rmkQLzj0k4nZdQehOUByO,Chino Pacas,https://open.spotify.com/artist/2rmkQLzj0k4nZdQehOUByO,corrido,2608747,81
3MdXrJWsbVzdn6fe5JYkSQ,Latto,https://open.spotify.com/artist/3MdXrJWsbVzdn6fe5JYkSQ,trap queen,1789534,80
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH,"art pop, pop",100773652,96
7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH,"garage rock, modern rock, permanent wave, rock, sheffield indie",26899509,87
